ISO3,Country,Youth_Account_Pct,Year
ALB,Albania,29.36,2024
DZA,Algeria,18.53,2024
ARG,Argentina,84.37,2024
ARM,Armenia,63.68,2024
AUS,Australia,98.75,2024
AUT,Austria,100,2024
AZE,Azerbaijan,31.74,2024
BHR,Bahrain,76.61,2024
BGD,Bangladesh,38.73,2024
BEL,Belgium,98.0,2024
BLZ,Belize,58.01,2024
BEN,Benin,42.02,2024
BOL,Bolivia,53.82,2024
BIH,Bosnia and Herzegovina,58.4,2024
BWA,Botswana,52.28,2024
BRA,Brazil,84.39,2024
BGR,Bulgaria,79.17,2024
BFA,Burkina Faso,47.27,2024
KHM,Cambodia,40.54,2024
CMR,Cameroon,57.17,2024
CAN,Canada,100,2024
TCD,Chad,20.74,2024
CHL,Chile,85.37,2024
CHN,China,88.56,2024
COL,Colombia,62.24,2024
COM,Comoros,32.46,2024
COD,"Congo, Dem. Rep.",31.64,2024
COG,"Congo, Rep.",55.39,2024
CRI,Costa Rica,67.13,2024
CIV,Cote d'Ivoire,48.63,2024
HRV,Croatia,55.24,2024
CYP,Cyprus,95.32,2024
CZE,Czechia,91.35,2024
DNK,Denmark,97.94,2024
DOM,Dominican Republic,47.43,2024
ECU,Ecuador,60.52,2024
EGY,"Egypt, Arab Rep.",32.54,2024
SLV,El Salvador,36.84,2024
EST,Estonia,98.23,2024
SWZ,Eswatini,44.08,2024
ETH,Ethiopia,37.94,2024
FIN,Finland,98.64,2024
FRA,France,100,2024
GAB,Gabon,62.0,2024
GMB,"Gambia, The",34.8,2024
GEO,Georgia,68.73,2024
DEU,Germany,90.88,2024
GHA,Ghana,79.97,2024
GRC,Greece,69.92,2024
GTM,Guatemala,34.79,2024
GIN,Guinea,33.69,2024
HND,Honduras,41.17,2024
HKG,"Hong Kong SAR, China",95.93,2024
HUN,Hungary,96.43,2024
ISL,Iceland,100,2024
IND,India,83.33,2024
IDN,Indonesia,61.99,2024
IRN,"Iran, Islamic Rep.",91.77,2024
IRQ,Iraq,29.91,2024
IRL,Ireland,98.52,2024
ISR,Israel,57.45,2024
ITA,Italy,57.35,2024
JAM,Jamaica,75.36,2021
JPN,Japan,97.39,2024
JOR,Jordan,29.25,2024
KAZ,Kazakhstan,68.27,2024
KEN,Kenya,89.85,2024
KOR,"Korea, Rep.",98.36,2024
XKX,Kosovo,41.41,2024
KWT,Kuwait,77.75,2024
KGZ,Kyrgyz Republic,55.24,2024
LAO,Lao PDR,30.24,2024
LVA,Latvia,89.66,2024
LBN,Lebanon,5.96,2024
LSO,Lesotho,53.16,2024
LBR,Liberia,49.76,2024
LBY,Libya,19.39,2024
LTU,Lithuania,100,2024
MDG,Madagascar,25.43,2024
MWI,Malawi,47.79,2024
MYS,Malaysia,87.08,2024
MLI,Mali,45.8,2024
MLT,Malta,96.11,2024
MRT,Mauritania,20.94,2024
MUS,Mauritius,89.78,2024
MEX,Mexico,44.67,2024
MDA,Moldova,58.96,2024
MNG,Mongolia,95.86,2024
MNE,Montenegro,33.1,2024
MAR,Morocco,30.21,2024
MOZ,Mozambique,49.96,2024
MMR,Myanmar,55.68,2021
NAM,Namibia,59.13,2024
NPL,Nepal,39.12,2024
NLD,Netherlands,100,2024
NZL,New Zealand,95.38,2024
NIC,Nicaragua,28.35,2024
NER,Niger,15.74,2024
NGA,Nigeria,44.43,2024
MKD,North Macedonia,57.37,2024
NOR,Norway,94.43,2024
OMN,Oman,71.42,2024
PAK,Pakistan,24.34,2024
PAN,Panama,57.52,2024
PRY,Paraguay,47.3,2024
PER,Peru,52.99,2024
PHL,Philippines,55.11,2024
POL,Poland,73.63,2024
PRT,Portugal,93.01,2024
ROU,Romania,85.63,2024
RUS,Russian Federation,88.45,2024
SAU,Saudi Arabia,64.9,2024
SEN,Senegal,63.26,2024
SRB,Serbia,37.9,2024
SLE,Sierra Leone,36.5,2024
SGP,Singapore,98.87,2024
SVK,Slovak Republic,81.1,2024
SVN,Slovenia,98.63,2024
ZAF,South Africa,66.6,2024
ESP,Spain,100,2024
LKA,Sri Lanka,75.06,2024
SWE,Sweden,100,2024
CHE,Switzerland,98.09,2024
TJK,Tajikistan,29.77,2024
TZA,Tanzania,53.15,2024
THA,Thailand,88.13,2024
TGO,Togo,49.05,2024
TTO,Trinidad and Tobago,76.97,2024
TUN,Tunisia,11.66,2024
TUR,Turkiye,65.24,2024
UGA,Uganda,66.74,2024
UKR,Ukraine,92.93,2024
ARE,United Arab Emirates,79.43,2021
GBR,United Kingdom,100,2024
USA,United States,87.66,2024
URY,Uruguay,62.43,2024
UZB,Uzbekistan,35.41,2024
VEN,"Venezuela, RB",76.39,2024
VNM,Viet Nam,72.16,2024
PSE,West Bank and Gaza,23.44,2024
YEM,"Yemen, Rep.",5.01,2022
ZMB,Zambia,61.52,2024
ZWE,Zimbabwe,38.23,2024
