ISO3,Country,Pop_15_24_Total,Year
AFG,Afghanistan,9036124,2024
ALB,Albania,303497,2024
DZA,Algeria,6559911,2024
ASM,American Samoa,8457,2024
AND,Andorra,9048,2024
AGO,Angola,7245915,2024
ATG,Antigua and Barbuda,13194,2024
ARG,Argentina,7020489,2024
ARM,Armenia,377817,2024
ABW,Aruba,13702,2024
AUS,Australia,3294297,2024
AUT,Austria,911309,2024
AZE,Azerbaijan,1385290,2024
BHS,"Bahamas, The",57167,2024
BHR,Bahrain,192659,2024
BGD,Bangladesh,33163359,2024
BRB,Barbados,36943,2024
BLR,Belarus,924838,2024
BEL,Belgium,1362410,2024
BLZ,Belize,78730,2024
BEN,Benin,2840155,2024
BMU,Bermuda,6739,2024
BTN,Bhutan,140678,2024
BOL,Bolivia,2301670,2024
BIH,Bosnia and Herzegovina,332129,2024
BWA,Botswana,491263,2024
BRA,Brazil,30607316,2024
VGB,British Virgin Islands,5141,2024
BRN,Brunei Darussalam,67919,2024
BGR,Bulgaria,628216,2024
BFA,Burkina Faso,4886927,2024
BDI,Burundi,2804771,2024
CPV,Cabo Verde,90237,2024
KHM,Cambodia,3031531,2024
CMR,Cameroon,5777528,2024
CAN,Canada,4803419,2024
CYM,Cayman Islands,7696,2024
CAF,Central African Republic,1196007,2024
TCD,Chad,4056731,2024
CHI,Channel Islands,17838,2024
CHL,Chile,2542695,2024
CHN,China,161356452,2024
COL,Colombia,8330229,2024
COM,Comoros,166104,2024
COD,"Congo, Dem. Rep.",20850927,2024
COG,"Congo, Rep.",1213685,2024
CRI,Costa Rica,739108,2024
CIV,Cote d'Ivoire,6181503,2024
HRV,Croatia,401829,2024
CUB,Cuba,1240676,2024
CUW,Curacao,19377,2024
CYP,Cyprus,141549,2024
CZE,Czechia,1130024,2024
DNK,Denmark,720228,2024
DJI,Djibouti,229513,2024
DMA,Dominica,8792,2024
DOM,Dominican Republic,1941025,2024
ECU,Ecuador,3134467,2024
EGY,"Egypt, Arab Rep.",20504588,2024
SLV,El Salvador,1160717,2024
GNQ,Equatorial Guinea,327282,2024
ERI,Eritrea,785492,2024
EST,Estonia,142974,2024
SWZ,Eswatini,248980,2024
ETH,Ethiopia,27812984,2024
FRO,Faroe Islands,7576,2024
FJI,Fiji,156113,2024
FIN,Finland,625862,2024
FRA,France,8447377,2024
PYF,French Polynesia,42570,2024
GAB,Gabon,442480,2024
GMB,"Gambia, The",561649,2024
GEO,Georgia,430834,2024
DEU,Germany,7962738,2024
GHA,Ghana,6620364,2024
GIB,Gibraltar,4930,2024
GRC,Greece,1076575,2024
GRL,Greenland,7014,2024
GRD,Grenada,16925,2024
GUM,Guam,23529,2024
GTM,Guatemala,3743883,2024
GIN,Guinea,2993330,2024
GNB,Guinea-Bissau,447550,2024
GUY,Guyana,143773,2024
HTI,Haiti,2260591,2024
HND,Honduras,2120899,2024
HKG,"Hong Kong SAR, China",564904,2024
HUN,Hungary,997243,2024
ISL,Iceland,50065,2024
IND,India,257366827,2024
IDN,Indonesia,45267158,2024
IRN,"Iran, Islamic Rep.",12177676,2024
IRQ,Iraq,9036178,2024
IRL,Ireland,715173,2024
IMN,Isle of Man,9055,2024
ISR,Israel,1542893,2024
ITA,Italy,5890022,2024
JAM,Jamaica,456775,2024
JPN,Japan,11766731,2024
JOR,Jordan,2132075,2024
KAZ,Kazakhstan,2815650,2024
KEN,Kenya,12070327,2024
KIR,Kiribati,23278,2024
PRK,"Korea, Dem. People's Rep.",3440798,2024
KOR,"Korea, Rep.",5144280,2024
XKX,Kosovo,272992,2024
KWT,Kuwait,520207,2024
KGZ,Kyrgyz Republic,1143901,2024
LAO,Lao PDR,1451437,2024
LVA,Latvia,191421,2024
LBN,Lebanon,998527,2024
LSO,Lesotho,462075,2024
LBR,Liberia,1170541,2024
LBY,Libya,1283128,2024
LIE,Liechtenstein,4190,2024
LTU,Lithuania,301339,2024
LUX,Luxembourg,72882,2024
MAC,"Macao SAR, China",65922,2024
MDG,Madagascar,6450749,2024
MWI,Malawi,4690491,2024
MYS,Malaysia,5920247,2024
MDV,Maldives,64352,2024
MLI,Mali,4993955,2024
MLT,Malta,51041,2024
MHL,Marshall Islands,7902,2024
MRT,Mauritania,1022376,2024
MUS,Mauritius,175282,2024
MEX,Mexico,22228571,2024
FSM,"Micronesia, Fed. Sts.",22541,2024
MDA,Moldova,266411,2024
MCO,Monaco,3366,2024
MNG,Mongolia,493842,2024
MNE,Montenegro,77127,2024
MAR,Morocco,6121412,2024
MOZ,Mozambique,6987365,2024
MMR,Myanmar,8899146,2024
NAM,Namibia,544688,2024
NRU,Nauru,2104,2024
NPL,Nepal,5838115,2024
NLD,Netherlands,2169581,2024
NCL,New Caledonia,42723,2024
NZL,New Zealand,669643,2024
NIC,Nicaragua,1271040,2024
NER,Niger,5546972,2024
NGA,Nigeria,47928928,2024
MKD,North Macedonia,208612,2024
MNP,Northern Mariana Islands,6668,2024
NOR,Norway,680094,2024
OMN,Oman,716509,2024
PAK,Pakistan,49936921,2024
PLW,Palau,2173,2024
PAN,Panama,723449,2024
PNG,Papua New Guinea,2017873,2024
PRY,Paraguay,1166002,2024
PER,Peru,5687656,2024
PHL,Philippines,22041208,2024
POL,Poland,3624141,2024
PRT,Portugal,1107475,2024
PRI,Puerto Rico (US),392719,2024
QAT,Qatar,262336,2024
ROU,Romania,2098959,2024
RUS,Russian Federation,15061534,2024
RWA,Rwanda,2951944,2024
WSM,Samoa,38671,2024
SMR,San Marino,3496,2024
STP,Sao Tome and Principe,49705,2024
SAU,Saudi Arabia,5219665,2024
SEN,Senegal,3840584,2024
SRB,Serbia,674355,2024
SYC,Seychelles,15473,2024
SLE,Sierra Leone,1783844,2024
SGP,Singapore,905969,2024
SXM,Sint Maarten (Dutch part),5095,2024
SVK,Slovak Republic,537143,2024
SVN,Slovenia,205799,2024
SLB,Solomon Islands,159388,2024
SOM,"Somalia, Fed. Rep.",3785525,2024
ZAF,South Africa,10462102,2024
SSD,South Sudan,2732911,2024
ESP,Spain,5136121,2024
LKA,Sri Lanka,3330887,2024
KNA,St. Kitts and Nevis,6323,2024
LCA,St. Lucia,26243,2024
MAF,St. Martin (French part),3248,2024
VCT,St. Vincent and the Grenadines,14524,2024
SDN,Sudan,10241792,2024
SUR,Suriname,109619,2024
SWE,Sweden,1210045,2024
CHE,Switzerland,897399,2024
SYR,Syrian Arab Republic,5798085,2024
TJK,Tajikistan,1807130,2024
TZA,Tanzania,13847999,2024
THA,Thailand,8935609,2024
TLS,Timor-Leste,304288,2024
TGO,Togo,1854989,2024
TON,Tonga,21055,2024
TTO,Trinidad and Tobago,171628,2024
TUN,Tunisia,1683140,2024
TUR,Turkiye,12564000,2024
TKM,Turkmenistan,1066751,2024
TCA,Turks and Caicos Islands,5322,2024
TUV,Tuvalu,1605,2024
UGA,Uganda,10831001,2024
UKR,Ukraine,3804795,2024
ARE,United Arab Emirates,1417050,2024
GBR,United Kingdom,8094039,2024
USA,United States,44711413,2024
URY,Uruguay,476397,2024
UZB,Uzbekistan,5255075,2024
VUT,Vanuatu,57824,2024
VEN,"Venezuela, RB",5040440,2024
VNM,Viet Nam,13782040,2024
VIR,Virgin Islands (U.S.),11853,2024
PSE,West Bank and Gaza,1013069,2024
YEM,"Yemen, Rep.",7842368,2024
ZMB,Zambia,4408064,2024
ZWE,Zimbabwe,3495554,2024
