ISO3,Country,Account_Ownership_Pct,Year
AFG,Afghanistan,9.65,2021
ALB,Albania,44.17,2021
DZA,Algeria,44.10,2021
ARG,Argentina,71.63,2021
ARM,Armenia,55.35,2021
AUS,Australia,99.32,2021
AUT,Austria,99.95,2021
BGD,Bangladesh,52.81,2021
BEL,Belgium,99.01,2021
BEN,Benin,48.61,2021
BOL,Bolivia,68.89,2021
BIH,Bosnia and Herzegovina,79.34,2021
BRA,Brazil,84.04,2021
BGR,Bulgaria,83.97,2021
BFA,Burkina Faso,36.11,2021
KHM,Cambodia,33.39,2021
CMR,Cameroon,51.65,2021
CAN,Canada,99.63,2021
CHL,Chile,87.06,2021
CHN,China,88.71,2021
COL,Colombia,59.72,2021
COG,Congo Rep.,47.14,2021
CRI,Costa Rica,68.49,2021
CIV,Cote d'Ivoire,50.76,2021
HRV,Croatia,91.80,2021
CYP,Cyprus,93.13,2021
CZE,Czechia,94.94,2021
DNK,Denmark,100.00,2021
DOM,Dominican Republic,51.30,2021
ECU,Ecuador,64.18,2021
EGY,Egypt Arab Rep.,27.44,2021
SLV,El Salvador,35.85,2021
EST,Estonia,99.38,2021
FIN,Finland,99.53,2021
FRA,France,99.24,2021
GAB,Gabon,66.09,2021
GEO,Georgia,70.50,2021
DEU,Germany,99.98,2021
GHA,Ghana,68.23,2021
GRC,Greece,94.88,2021
GIN,Guinea,30.44,2021
HND,Honduras,37.85,2021
HKG,Hong Kong SAR China,97.80,2021
HUN,Hungary,88.22,2021
ISL,Iceland,100.00,2021
IND,India,77.53,2021
IDN,Indonesia,51.76,2021
IRN,Iran Islamic Rep.,89.98,2021
IRQ,Iraq,18.57,2021
IRL,Ireland,99.66,2021
ISR,Israel,92.93,2021
ITA,Italy,97.29,2021
JAM,Jamaica,73.30,2021
JPN,Japan,98.49,2021
JOR,Jordan,47.12,2021
KAZ,Kazakhstan,81.11,2021
KEN,Kenya,79.20,2021
KOR,Korea Rep.,98.67,2021
XKX,Kosovo,58.01,2021
KGZ,Kyrgyz Republic,45.09,2021
LAO,Lao PDR,37.32,2021
LVA,Latvia,96.62,2021
LBN,Lebanon,20.70,2021
LBR,Liberia,51.63,2021
LTU,Lithuania,93.53,2021
MWI,Malawi,42.71,2021
MYS,Malaysia,88.37,2021
MLI,Mali,43.50,2021
MLT,Malta,96.45,2021
MUS,Mauritius,90.53,2021
MDA,Moldova,64.25,2021
MNG,Mongolia,98.46,2021
MAR,Morocco,44.37,2021
MOZ,Mozambique,49.49,2021
MMR,Myanmar,47.79,2021
NAM,Namibia,71.35,2021
NPL,Nepal,54.00,2021
NLD,Netherlands,99.73,2021
NZL,New Zealand,98.75,2021
NIC,Nicaragua,26.03,2021
NGA,Nigeria,45.32,2021
MKD,North Macedonia,85.29,2021
NOR,Norway,99.48,2021
PAK,Pakistan,20.98,2021
PAN,Panama,44.97,2021
PRY,Paraguay,54.42,2021
PER,Peru,57.50,2021
PHL,Philippines,51.37,2021
POL,Poland,95.72,2021
PRT,Portugal,92.65,2021
ROU,Romania,69.12,2021
RUS,Russian Federation,89.72,2021
SAU,Saudi Arabia,74.32,2021
SEN,Senegal,55.96,2021
SRB,Serbia,89.42,2021
SLE,Sierra Leone,28.85,2021
SGP,Singapore,97.55,2021
SVK,Slovak Republic,95.62,2021
SVN,Slovenia,99.05,2021
ZAF,South Africa,85.38,2021
SSD,South Sudan,5.83,2021
ESP,Spain,98.30,2021
LKA,Sri Lanka,89.27,2021
SWE,Sweden,99.69,2021
CHE,Switzerland,99.49,2021
TJK,Tajikistan,39.49,2021
TZA,Tanzania,52.43,2021
THA,Thailand,95.58,2021
TGO,Togo,49.61,2021
TUN,Tunisia,36.85,2021
TUR,Turkiye,74.09,2021
UGA,Uganda,65.91,2021
UKR,Ukraine,83.56,2021
ARE,United Arab Emirates,85.74,2021
GBR,United Kingdom,99.76,2021
USA,United States,94.95,2021
URY,Uruguay,74.13,2021
UZB,Uzbekistan,44.13,2021
VEN,Venezuela RB,84.39,2021
PSE,West Bank and Gaza,33.64,2021
ZMB,Zambia,48.52,2021
ZWE,Zimbabwe,59.75,2021
