ISO3,Country,Ext_Debt_Pct_GNI,Year
AFG,Afghanistan,23.3368,2022
ALB,Albania,55.7646,2022
DZA,Algeria,3.235,2022
AGO,Angola,62.7115,2022
ARG,Argentina,40.0822,2022
ARM,Armenia,83.8849,2022
AZE,Azerbaijan,21.0241,2022
BGD,Bangladesh,20.266,2022
BLR,Belarus,56.3948,2022
BLZ,Belize,54.2322,2022
BEN,Benin,63.1637,2022
BTN,Bhutan,115.0155,2022
BOL,Bolivia,37.2687,2022
BIH,Bosnia and Herzegovina,55.507,2022
BWA,Botswana,9.8389,2022
BRA,Brazil,30.5621,2022
BGR,Bulgaria,55.142,2022
BFA,Burkina Faso,54.9424,2022
BDI,Burundi,28.2437,2022
CPV,Cabo Verde,108.2757,2022
KHM,Cambodia,58.4582,2022
CMR,Cameroon,34.9722,2022
CAF,Central African Republic,41.6648,2022
TCD,Chad,18.5307,2022
CHN,China,13.9318,2022
COL,Colombia,55.2902,2022
COM,Comoros,28.1539,2022
COD,"Congo, Dem. Rep.",17.1526,2022
COG,"Congo, Rep.",51.9846,2022
CIV,Cote d'Ivoire,46.0823,2022
DJI,Djibouti,87.3175,2022
DMA,Dominica,95.7271,2022
DOM,Dominican Republic,44.2345,2022
ECU,Ecuador,53.1297,2022
EGY,"Egypt, Arab Rep.",35.3833,2022
SLV,El Salvador,70.8098,2022
SWZ,Eswatini,28.595,2022
ETH,Ethiopia,24.2639,2022
FJI,Fiji,63.5123,2022
GAB,Gabon,41.9837,2022
GMB,"Gambia, The",54.2712,2022
GEO,Georgia,100.3125,2022
GHA,Ghana,60.0227,2022
GRD,Grenada,74.4747,2022
GTM,Guatemala,27.0068,2022
GIN,Guinea,25.0645,2022
GNB,Guinea-Bissau,67.6698,2022
GUY,Guyana,23.2244,2022
HTI,Haiti,14.6236,2022
HND,Honduras,43.7025,2022
IND,India,18.6518,2022
IDN,Indonesia,30.8527,2022
IRN,"Iran, Islamic Rep.",2.4024,2022
IRQ,Iraq,7.9332,2022
JAM,Jamaica,94.4322,2022
JOR,Jordan,85.3106,2022
KAZ,Kazakhstan,84.7932,2022
KEN,Kenya,36.8769,2022
KGZ,Kyrgyz Republic,82.1428,2022
LAO,Lao PDR,129.2316,2022
LBN,Lebanon,332.8637,2022
LSO,Lesotho,63.9955,2022
LBR,Liberia,51.2373,2022
MDG,Madagascar,39.685,2022
MWI,Malawi,27.7079,2022
MDV,Maldives,73.0396,2022
MLI,Mali,28.8716,2022
MRT,Mauritania,47.99,2022
MUS,Mauritius,124.1223,2022
MEX,Mexico,40.8972,2022
MDA,Moldova,66.8633,2022
MNG,Mongolia,217.3583,2022
MNE,Montenegro,138.5826,2022
MAR,Morocco,50.3511,2022
MOZ,Mozambique,379.6303,2022
MMR,Myanmar,20.5015,2022
NPL,Nepal,22.1715,2022
NIC,Nicaragua,104.7638,2022
NER,Niger,38.6144,2022
NGA,Nigeria,22.1867,2022
MKD,North Macedonia,87.2903,2022
PAK,Pakistan,34.5203,2022
PNG,Papua New Guinea,65.8166,2022
PRY,Paraguay,62.1946,2022
PER,Peru,39.9789,2022
PHL,Philippines,25.8753,2022
RUS,Russian Federation,16.7574,2022
RWA,Rwanda,74.3314,2022
WSM,Samoa,57.9346,2022
STP,Sao Tome and Principe,52.034,2022
SEN,Senegal,132.2979,2022
SRB,Serbia,70.4742,2022
SLE,Sierra Leone,34.0265,2022
SLB,Solomon Islands,30.3157,2022
SOM,"Somalia, Fed. Rep.",40.3125,2022
ZAF,South Africa,43.0995,2022
LKA,Sri Lanka,81.2809,2022
LCA,St. Lucia,42.4693,2022
VCT,St. Vincent and the Grenadines,63.8019,2022
SDN,Sudan,44.3585,2022
SUR,Suriname,120.4035,2022
SYR,Syrian Arab Republic,21.3078,2022
TJK,Tajikistan,47.3125,2022
TZA,Tanzania,40.9318,2022
THA,Thailand,41.8986,2022
TLS,Timor-Leste,9.4196,2022
TGO,Togo,40.1159,2022
TON,Tonga,38.6038,2022
TUN,Tunisia,93.3279,2022
TUR,Turkiye,50.7583,2022
TKM,Turkmenistan,7.9818,2022
UGA,Uganda,47.182,2022
UKR,Ukraine,84.1146,2022
,Upper middle income,22.4952,2022
UZB,Uzbekistan,58.8224,2022
VUT,Vanuatu,39.0105,2022
VNM,Viet Nam,37.258,2022
ZMB,Zambia,103.6739,2022
ZWE,Zimbabwe,44.0905,2022
